"","PLAYERS","NO_APPEARANCES","ARCHETYPE_NAMES","ARCHETYPE_COUNT","URL"
"80","pootisgodsamongus",1,"Obosh Aggro","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-09-21#pootisgodsamongus_st_place"
"81","Reynad",1,"Jund Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-09-21#reynad_nd_place"
"82","RearrangedAS",1,"Spirits","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-09-21#rearrangedas_rd_place"
"83","Phill_Hellmuth",1,"Gruul Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-09-21#phill_hellmuth_th_place"
"84","TebbeBear",1,"Ad Nauseam","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-09-21#tebbebear_th_place"
"85","mathguy31415",1,"Green Tron","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-09-21#mathguy_th_place"
"86","Chuckles1248",1,"Ad Nauseam","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-09-21#chuckles_th_place"
"87","slow_brz",1,"Mardu Shadow","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-09-21#slow_brz_th_place"
"88","__matsugan",1,"Oops All Spells","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-27#__matsugan_nd_place"
"89","Bedell",1,"Amulet Titan","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-27#bedell_rd_place"
"90","GodOfSlaughter",1,"Niv To Light","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-27#godofslaughter_th_place"
"91","rob85tx",1,"Izzet Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-27#robtx_th_place"
"92","alexmw14",1,"Jund Shadow","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-28#alexmw_nd_place"
"93","HamburgerJung",1,"Green Tron","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-28#hamburgerjung_th_place"
"94","ilsecco14",1,"Neobrand","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-28#ilsecco_th_place"
"95","D00mwake",1,"Shadow Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-10-04#dmwake_st_place"
"96","Frejat",1,"Reclaimer Titan","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-10-04#frejat_nd_place"
"97","moyashi0904",1,"WURG Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-10-04#moyashi_rd_place"
"98","__BMJ__",1,"Shadow Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-10-04#__bmj___th_place"
"99","audio336",1,"Shadow Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-10-04#audio_th_place"
"100","starfall",1,"Obosh Aggro","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-10-04#starfall_th_place"
"101","TrueHero",1,"UBRG Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-10-04#truehero_th_place"
"102","unicornparadise",1,"Spirits","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-05#unicornparadise_th_place"
"103","cityofcards",1,"Shadow Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-05#cityofcards_th_place"
